"estimated_load","latitude","longitude","route_number","speed","vehicle_number","event_timestamp"
,"45.58918","-122.747825",,"22","3547","1492200256"
,"45.412352","-122.629207",,"30","3110","1492200257"
"2","45.41949","-122.62917","32","32","3538","1492200258"
,"45.508558","-122.777683",,"30","3540","1492200259"
,,,,,"3538","1492200259"
,"45.555137","-122.57193",,"27","3239","1492200259"
,"45.520785","-122.679315",,"18","3038","1492200260"
,,,,,"304","1492200261"
,"45.589025","-122.747183",,"23","3547","1492200261"
,"45.411817","-122.628812",,"30","3110","1492200262"
,"45.420157","-122.629387",,"34","3538","1492200263"
,"45.508018","-122.778298",,"34","3540","1492200264"
,"45.555333","-122.571442",,"18","3239","1492200264"
,"45.520927","-122.679853",,"20","3038","1492200265"
,"45.58889","-122.746622",,"20","3547","1492200266"
,"45.41142","-122.628535",,"21","3110","1492200267"
,"45.42085","-122.629607",,"35","3538","1492200268"
,"45.507418","-122.77855",,"29","3540","1492200269"
,"45.555497","-122.571048",,"16","3239","1492200269"
"18","45.520927","-122.679853","15","19","3038","1492200270"
,"45.41122","-122.62841",,"12","3110","1492200271"
,,,,,"3038","1492200271"
,"45.588817","-122.746402",,"7","3547","1492200271"
,"45.421545","-122.62984",,"35","3538","1492200273"
"6","45.58881","-122.746382","75",,"3547","1492200273"
,"45.507042","-122.77848",,"18","3540","1492200274"
"2","45.421545","-122.629839","32",,"3538","1492200274"
,"45.555705","-122.570533",,"21","3239","1492200274"
"13","45.411197","-122.628389","33",,"3110","1492200275"
,,,,,"3538","1492200275"
,"45.52118","-122.68091",,"20","3038","1492200275"
,"45.422243","-122.630077",,"35","3538","1492200278"
,,,,,"2505","1492200279"
,"45.506767","-122.778405",,"13","3540","1492200279"
,"45.555918","-122.569962",,"21","3239","1492200279"
,"45.512128","-122.623625",,"3","2505","1492200280"
,"45.521257","-122.681207",,"8","3038","1492200280"
,"45.422943","-122.63032",,"36","3538","1492200283"
,"45.556007","-122.569727",,"8","3239","1492200283"
,"45.50662","-122.77831",,"8","3540","1492200284"
,"45.512115","-122.624162",,"18","2505","1492200285"
"3","45.556074","-122.569594","12",,"3239","1492200285"
"2","45.422943","-122.630319","32",,"3538","1492200286"
,,,,,"3538","1492200287"
,"45.423642","-122.630563",,"35","3538","1492200288"
,"45.506653","-122.77797",,"13","3540","1492200289"
,"45.51211","-122.624698",,"19","2505","1492200290"
,"45.411028","-122.628217",,"4","3110","1492200291"
